#,id,Player,age,Nation_map,DF,FW,MF,Position_map,Team_map,Leag_map,90s,Gls,Ast,G+A,G-PK,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Blocks,Pass,Int,Tkl+Int,Clr,Err,Sh,SoT,Dist,FK,xG,SCA,SCA90,PassLive,Sh_Sh,GCA,value
871,riccardo_saponara_31,Riccardo Saponara,31,42,0,1,0,1,31,2,13.4,4,3,7,4,2.8,3.4,6.2,56,56,125,0.52,10.00,5.00,3.00,6.00,1.00,7.00,6.00,1.40,15.00,9.00,1.00,37.00,13.00,19.40,0.00,2.80,49.00,3.66,36.00,5.00,5.00,2000000.00
880,leonardo_sernicola_26,Leonardo Sernicola,26,42,1,0,0,3,26,2,25.7,2,2,4,2,1.3,2.3,3.7,60,62,95,0.16,45.00,33.00,25.00,13.00,7.00,23.00,17.00,38.00,83.00,55.00,0.00,25.00,5.00,21.30,0.00,1.30,55.00,2.14,40.00,3.00,4.00,2000000.00
911,aleksa_terzic_24,Aleksa Terzić,24,47,1,0,0,3,31,2,10.4,1,1,2,1,0.4,1.9,2.3,49,40,61,0.19,16.00,9.00,9.00,4.00,3.00,13.00,9.00,5.00,21.00,16.00,0.00,10.00,2.00,24.80,0.00,0.40,43.00,4.13,32.00,1.00,5.00,2000000.00
924,diego_valencia_23,Diego Valencia,23,70,0,1,1,4,39,2,2.6,0,0,0,0,0.1,0.1,0.2,1,4,21,0,8.00,5.00,4.00,2.00,2.00,10.00,9.00,1.00,9.00,2.00,0.00,1.00,1.00,10.00,0.00,0.10,1.00,0.39,1.00,0.00,0.00,2000000.00
930,lorenzo_venuti_28,Lorenzo Venuti,28,42,1,0,0,3,31,2,10.3,0,1,1,0,0.4,0.5,0.9,24,44,43,0.1,18.00,7.00,6.00,11.00,1.00,7.00,5.00,5.00,23.00,17.00,2.00,7.00,4.00,22.10,0.00,0.40,24.00,2.34,15.00,1.00,2.00,2000000.00
935,emanuel_vignato_23,Emanuel Vignato,23,42,0,1,1,4,25,2,2.7,0,1,1,0,0.1,0.4,0.5,3,9,4,0.37,4.00,4.00,2.00,2.00,0.00,2.00,2.00,3.00,7.00,0.00,0.00,1.00,1.00,14.00,0.00,0.10,5.00,1.86,5.00,0.00,1.00,2000000.00
965,nadir_zortea_24,Nadir Zortea,24,42,1,0,1,5,38,2,2.5,1,0,1,1,0.1,0.6,0.7,11,9,13,0.41,10.00,5.00,3.00,7.00,0.00,4.00,4.00,0.00,10.00,4.00,0.00,4.00,3.00,20.40,0.00,0.10,8.00,3.27,5.00,1.00,1.00,2000000.00
979,ruben_alcaraz_32,Rubén Alcaraz,32,10,0,0,1,2,48,3,22.7,3,0,3,1,1.6,1.3,2.9,30,105,20,0.04,43.00,31.00,24.00,18.00,1.00,23.00,15.00,19.00,62.00,37.00,0.00,31.00,4.00,23.50,3.00,4.00,47.00,2.07,34.00,1.00,2.00,2000000.00
990,amath_27,Amath,27,40,0,1,1,4,54,3,13.6,2,0,2,2,2.7,0.8,3.5,33,16,69,0.15,29.00,19.00,14.00,8.00,7.00,13.00,12.00,5.00,34.00,5.00,0.00,23.00,7.00,14.00,0.00,2.70,24.00,1.76,11.00,4.00,3.00,2000000.00
991,jordan_amavi_29,Jordan Amavi,29,5,1,0,0,3,51,3,2.2,0,0,0,0,0,0,0,4,5,5,0,3.00,2.00,3.00,0.00,0.00,3.00,3.00,1.30,7.00,7.00,0.00,0.00,0.00,,0.00,0.00,2.00,0.90,2.00,0.00,1.00,2000000.00
